workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rnaseq-oct-1,2958.8956531938356,10697.0,0.5%:2945.2441109045685:1412.064|13.2%:2|1,18.9%:2401.012221342374:0.0|0.0%:0|0,35.5%:1908.7928654093735:1412.064|13.2%:1|1,35.5%:1908.7928654093735:1412.064|13.2%:1|1,61.0%:1154.2203853866495:0.0|0.0%:0|0
rnaseq-oct-2,2997.0717008340234,11472.0,0.4%:2985.366474937092:1606.844|14.0%:1|1,19.1%:2426.113335901609:0.0|0.0%:0|0,35.0%:1946.7010963772254:0.0|0.0%:0|0,35.0%:1946.7010963772254:0.0|0.0%:0|0,59.5%:1213.6240934440793:0.0|0.0%:0|0
rnaseq-oct-3,2974.4387298573965,10863.0,0.4%:2962.8250937990124:1624.336|15.0%:1|1,18.9%:2412.345132495081:0.0|0.0%:0|0,35.0%:1932.7205926409658:0.0|0.0%:0|0,35.0%:1932.7205926409658:0.0|0.0%:0|0,59.5%:1205.389788942741:0.0|0.0%:0|0
