workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-jun-1,4677.245061607862,24817.0,0.2%:4666.5067362489945:745.442|3.0%,0.4%:4657.542231519405:249.814|1.0%,0.5%:4654.048677782995:1182.07|4.8%,0.5%:4654.048677782995:1142.07|4.6%,0.5%:4654.024330758279:1427.698|5.8%
rangeland-jun-2,4670.372449492196,24742.0,0.2%:4660.024072950939:704.15|2.8%,0.4%:4650.404503019351:175.05|0.7%,0.5%:4647.057318361605:956.25|3.9%,0.5%:4647.057318361605:1116.3|4.5%,0.5%:4647.03846065341:1212.35|4.9%
rangeland-jun-3,4677.686385866562,24839.0,0.2%:4667.240851398807:789.999|3.2%,0.4%:4657.778133401293:271.333|1.1%,0.5%:4654.412100260378:1196.665|4.8%,0.5%:4654.412100260378:1233.998|5.0%,0.5%:4654.3908272812205:1527.331|6.1%
