workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-oct-1,367.47613474268985,2003.0,7.6%:339.70458356180023:245.0|12.2%:2|1,7.6%:339.70458356180023:245.0|12.2%:2|1,7.6%:339.70458356180023:245.0|12.2%:2|1,18.9%:297.9697274540488:314.0|15.7%:32|2,18.9%:297.9697274540488:314.0|15.7%:31|2
montage-oct-2,345.51295062222596,1814.0,5.2%:327.5232597085598:295.0|16.3%:3|1,5.2%:327.5232597085598:295.0|16.3%:3|2,5.2%:327.5232597085598:295.0|16.3%:2|1,16.7%:287.89351983643155:381.0|21.0%:33|3,16.7%:287.89351983643155:282.0|15.5%:31|2
montage-oct-3,334.0319696273423,1884.0,5.8%:314.5417921936661:293.0|15.6%:3|1,5.8%:314.5417921936661:293.0|15.6%:3|2,5.8%:314.5417921936661:293.0|15.6%:2|1,15.2%:283.20538661914406:243.0|12.9%:33|3,15.2%:283.20538661914406:147.0|7.8%:31|2
