workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-nov-1,236.20545526483903,2003.0,0.0%:236.20545526483903:0.0|0.0%:0|0,5.9%:222.36599907620726:0.0|0.0%:12|1,50.6%:116.7704284061303:0.0|0.0%:1|1,50.6%:116.7704284061303:0.0|0.0%:1|1,52.8%:111.43671835989787:0.0|0.0%:0|0
montage-nov-2,222.27480929487285,1814.0,0.0%:222.27480929487285:0.0|0.0%:0|0,6.1%:208.69933869029998:0.0|0.0%:0|0,50.7%:109.5760015102438:0.0|0.0%:0|0,50.7%:109.5760015102438:0.0|0.0%:0|0,52.8%:104.83130732864555:0.0|0.0%:0|0
montage-nov-3,214.91905246287968,1884.0,0.0%:214.91905246287968:0.0|0.0%:0|0,6.1%:201.79283591891715:0.0|0.0%:0|0,50.7%:105.94979472465076:0.0|0.0%:0|0,50.7%:105.94979472465076:0.0|0.0%:0|0,52.8%:101.36211706126582:0.0|0.0%:0|0
