workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rnaseq-sep-1,3086.2574965275776,10697.0,0.0%:3086.2574965275776:0.0|0.0%:0|0,16.0%:2591.4972643480996:0.0|0.0%:12|1,64.2%:1105.2905586003653:0.0|0.0%:0|0,67.0%:1018.9964656264679:0.0|0.0%:0|0,67.0%:1018.9964656264679:0.0|0.0%:0|0
rnaseq-sep-2,3126.3341627813443,11472.0,0.0%:3126.3341627813443:0.0|0.0%:0|0,16.4%:2614.113805914657:0.0|0.0%:12|1,64.2%:1119.1643419108227:0.0|0.0%:0|0,65.9%:1065.6183660438387:0.0|0.0%:22|1,65.9%:1065.6183660438387:0.0|0.0%:22|1
rnaseq-sep-3,3102.36805406899,10863.0,0.0%:3102.36805406899:0.0|0.0%:0|0,16.1%:2602.677298669532:0.0|0.0%:12|1,64.2%:1110.9134229823799:0.0|0.0%:0|0,65.9%:1058.5302483280739:0.0|0.0%:22|1,65.9%:1058.5302483280739:0.0|0.0%:22|1
