workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
nanoseq-nov-1,328.5680416222489,19616.143,0.2%:327.9142922435303:20.739|0.1%:10|2,0.2%:327.85875459391707:0.0|0.0%:11|2,0.2%:327.8171212365962:0.0|0.0%:24|2,1.4%:324.11785598658315:0.0|0.0%:52|4,2.0%:322.0149065667479:0.0|0.0%:65|4
nanoseq-nov-2,333.9240685693076,20705.598,0.2%:333.26589511619477:534.089|2.6%:9|3,0.2%:333.1774023380291:67.47|0.3%:18|2,0.3%:332.86054838702034:67.47|0.3%:30|2,1.5%:328.81518916569775:105.161|0.5%:54|2,2.0%:327.39031632761925:148.56|0.7%:63|4
nanoseq-nov-3,327.99430272346683,19775.509,0.2%:327.26291740689027:207.757|1.1%:11|2,0.2%:327.2035972624984:207.757|1.1%:12|1,0.2%:327.2035972624984:207.757|1.1%:12|1,1.4%:323.4163847939952:0.0|0.0%:53|3,2.0%:321.33512099564166:0.0|0.0%:66|3
