workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
chipseq-aug-1,4322.215320885703,13607.0,0.0%:4322.215320885703:0.0|0.0%,6.0%:4061.6763719476994:653.471|4.8%,24.4%:3267.9281427325523:0.0|0.0%,24.4%:3267.9281427325523:0.0|0.0%,38.7%:2651.405772820611:0.0|0.0%
chipseq-aug-2,4267.328915972974,13099.0,0.0%:4267.328915972974:0.0|0.0%,5.6%:4028.50761586546:792.14|6.0%,24.4%:3226.0578628323565:0.0|0.0%,24.4%:3226.0578628323565:0.0|0.0%,38.6%:2618.1550291157514:0.0|0.0%
chipseq-aug-3,4296.148567220218,13266.0,0.0%:4296.148567220218:0.0|0.0%,5.7%:4049.2845261561547:673.372|5.1%,24.4%:3247.8989337043777:0.0|0.0%,24.4%:3247.8989337043777:0.0|0.0%,38.7%:2635.6281335984354:0.0|0.0%
