workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-sep-1,185.1904302951373,2003.0,0.5%:184.25048311241443:0.0|0.0%:0|0,0.5%:184.25048311241443:47.0|2.3%:2|2,0.5%:184.25048311241443:0.0|0.0%:1|1,0.5%:184.25048311241443:448.0|22.4%:23|3,0.5%:184.25048311241443:0.0|0.0%:91|1
montage-sep-2,173.35113226687832,1814.0,0.0%:173.35113226687832:0.0|0.0%:5|1,0.0%:173.35113226687832:99.0|5.5%:1|1,0.0%:173.35113226687832:0.0|0.0%:0|0,0.0%:173.35113226687832:577.0|31.8%:25|4,0.0%:173.35113226687832:99.0|5.5%:1|1
montage-sep-3,167.6144103254628,1884.0,0.0%:167.6144103254628:0.0|0.0%:5|1,0.0%:167.6144103254628:96.0|5.1%:1|1,0.0%:167.6144103254628:0.0|0.0%:0|0,0.0%:167.6144103254628:440.0|23.4%:25|4,0.0%:167.6144103254628:96.0|5.1%:1|1
