workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-dec-1,212.29341647811026,2003.0,5.5%:200.5664724681525:0.0|0.0%:6|1,6.4%:198.78672577422228:0.0|0.0%:1|1,6.8%:197.95918757505558:0.0|0.0%:1|1,6.8%:197.95918757505558:0.0|0.0%:2|1,6.8%:197.95918757505558:47.0|2.3%:2|1
montage-dec-2,200.81595182685453,1814.0,6.0%:188.74293654394947:0.0|0.0%:0|0,6.9%:187.00647689580126:0.0|0.0%:0|0,7.3%:186.24028004590548:0.0|0.0%:1|1,7.3%:186.24028004590548:0.0|0.0%:0|0,7.3%:186.24028004590548:0.0|0.0%:1|1
montage-dec-3,194.33498104323346,1884.0,6.1%:182.50984594571696:0.0|0.0%:0|0,7.0%:180.8126674461468:0.0|0.0%:0|0,7.3%:180.07954332545216:0.0|0.0%:1|1,7.3%:180.07954332545216:0.0|0.0%:0|0,7.3%:180.07954332545216:0.0|0.0%:1|1
