workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-mar-1,2294.8708493042586,24817.0,0.0%:2294.8708493042586:0.0|0.0%:0|0,9.6%:2073.439893064534:220.814|0.9%:12|1,31.8%:1564.220861875258:0.0|0.0%:7|1,69.5%:700.7120145751726:0.0|0.0%:21|1,81.4%:426.06039882079585:0.0|0.0%:70|1
rangeland-mar-2,2291.0791297526266,24742.0,0.0%:2291.0791297526266:0.0|0.0%:0|0,9.4%:2075.1214181209853:137.05|0.6%:11|1,31.8%:1562.3352417547344:0.05|0.0%:6|1,66.3%:771.5774691759759:0.05|0.0%:20|2,79.9%:459.3644236266375:0.0|0.0%:69|1
rangeland-mar-3,2294.648155111718,24839.0,0.0%:2294.648155111718:0.0|0.0%:0|0,9.4%:2078.099620273732:421.333|1.7%:11|1,31.8%:1565.2263178639466:0.333|0.0%:6|1,66.3%:772.6447914188949:0.333|0.0%:20|2,80.0%:460.0228524001361:0.0|0.0%:69|1
