workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
chipseq-may-1,711.7345855357896,13607.0,28.5%:508.8655527088689:0.0|0.0%,28.5%:508.8655527088689:0.0|0.0%,40.4%:424.0840656436455:0.0|0.0%,40.4%:424.0840656436455:0.0|0.0%,40.4%:424.0840656436455:0.0|0.0%
chipseq-may-2,707.9676022421384,13099.0,29.1%:501.95709382990225:0.0|0.0%,29.1%:501.95709382990225:0.0|0.0%,40.6%:420.19499240878383:0.0|0.0%,40.6%:420.19499240878383:0.0|0.0%,40.6%:420.19499240878383:0.0|0.0%
chipseq-may-3,710.8468302144109,13266.0,28.9%:505.50004398354616:0.0|0.0%,28.9%:505.50004398354616:0.0|0.0%,40.6%:422.50829417071554:0.0|0.0%,40.6%:422.50829417071554:0.0|0.0%,40.6%:422.50829417071554:0.0|0.0%
