workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
mag-sep-1,8572.720755897926,45898.0,-0.0%:8576.60808450993:0.0|0.0%:6|1,-0.0%:8575.25598554174:250.762|0.5%:12|2,-0.0%:8575.18140065511:715.048|1.6%:23|5,0.2%:8552.898601242796:677.286|1.5%:38|4,2.6%:8352.139344287214:922.048|2.0%:86|6
mag-sep-2,8472.208048195253,44188.0,0.0%:8471.00365655053:0.0|0.0%:6|1,0.0%:8468.77637922085:269.497|0.6%:12|2,0.0%:8468.77637922085:269.497|0.6%:12|2,0.3%:8444.259075493921:494.994|1.1%:44|3,2.6%:8253.481885459427:1311.982|3.0%:92|7
mag-sep-3,8641.503157170784,46342.0,-0.1%:8645.94494527256:0.0|0.0%:6|1,-0.0%:8644.713738518214:214.877|0.5%:12|2,-0.0%:8644.626601283484:706.508|1.5%:24|5,0.3%:8619.700375540639:575.631|1.2%:37|4,2.6%:8418.34341538284:981.385|2.1%:85|6
