workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
mag-mar-1,15795.960422087117,45898.0,0.5%:15710.638571955044:0.0|0.0%,1.1%:15619.330527740853:0.0|0.0%,2.9%:15342.075647732518:559.524|1.2%,9.5%:14303.204027287846:487.524|1.1%,19.3%:12754.052575158526:709.048|1.5%
mag-mar-2,15844.793084824618,44188.0,0.7%:15735.958637016214:243.497|0.6%,1.3%:15635.977801290112:243.497|0.6%,2.7%:15414.054255195224:646.491|1.5%,9.0%:14415.621748697875:1310.982|3.0%,19.5%:12754.259486845509:503.994|1.1%
mag-mar-3,15721.315003598937,46342.0,0.6%:15630.202601212366:0.0|0.0%,1.2%:15540.081097308374:0.0|0.0%,3.1%:15236.740598706543:236.877|0.5%,9.7%:14191.446073915638:494.754|1.1%,19.2%:12704.043900311597:464.631|1.0%
