workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rnaseq-nov-1,701.2459487397634,10697.0,4.3%:671.1552537356418:0.0|0.0%:0|0,9.3%:636.2535525883134:1412.064|13.2%:10|1,28.3%:502.8667573829392:0.0|0.0%:1|1,28.3%:502.8667573829392:0.0|0.0%:1|1,28.3%:502.8667573829392:0.0|0.0%:1|1
rnaseq-nov-2,709.4262753855315,11472.0,4.2%:679.4448317779566:0.0|0.0%:0|0,9.3%:643.1624011265959:1606.844|14.0%:10|1,28.1%:510.27193444475273:0.0|0.0%:0|0,28.1%:510.27193444475273:0.0|0.0%:0|0,28.1%:510.27193444475273:0.0|0.0%:0|0
rnaseq-nov-3,704.6916554661059,10863.0,4.3%:674.5621667986834:0.0|0.0%:0|0,9.3%:639.3022745859957:1624.336|15.0%:10|1,28.1%:506.64247167202177:0.0|0.0%:0|0,28.1%:506.64247167202177:0.0|0.0%:0|0,28.1%:506.64247167202177:0.0|0.0%:0|0
