workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rnaseq-oct-1,1098.995634774154,10697.0,9.2%:997.3402551209963:0.0|0.0%:0|0,13.8%:947.1187192509215:1412.064|13.2%:9|1,55.1%:493.72053991496705:0.0|0.0%:0|0,71.5%:312.88154706863145:0.0|0.0%:1|1,71.5%:312.88154706863145:0.0|0.0%:1|1
rnaseq-oct-2,1111.6199317441674,11472.0,8.2%:1020.9851538953776:0.0|0.0%:0|0,13.9%:956.6084656977525:1606.844|14.0%:9|1,55.0%:499.97153107146164:0.0|0.0%:0|0,71.1%:321.238389644617:0.0|0.0%:0|0,71.1%:321.238389644617:0.0|0.0%:0|0
rnaseq-oct-3,1104.3941948767474,10863.0,8.2%:1013.7936849980058:0.0|0.0%:0|0,13.8%:951.5297510961334:1624.336|15.0%:9|1,55.1%:496.2304639921535:0.0|0.0%:0|0,71.1%:318.89935612509163:0.0|0.0%:0|0,71.1%:318.89935612509163:0.0|0.0%:0|0
