workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-oct-1,66.11880368019898,2003.0,25.5%:49.25349395094208:0.0|0.0%:0|0,44.4%:36.756876085563725:0.0|0.0%:7|1,58.2%:27.647383865744708:0.0|0.0%:1|1,58.2%:27.647383865744708:0.0|0.0%:1|1,59.9%:26.485330513836214:0.0|0.0%:2|1
montage-oct-2,61.74822966079977,1814.0,26.0%:45.69960401539382:0.0|0.0%:0|0,44.8%:34.10892993815619:0.0|0.0%:0|0,58.8%:25.461848001910106:0.0|0.0%:0|0,58.8%:25.461848001910106:0.0|0.0%:0|0,61.1%:24.05053670143471:0.0|0.0%:0|0
montage-oct-3,59.70479089402366,1884.0,26.0%:44.18726361333923:0.0|0.0%:0|0,44.8%:32.98016057728937:0.0|0.0%:0|0,58.8%:24.61923716809871:0.0|0.0%:0|0,58.8%:24.61923716809871:0.0|0.0%:0|0,61.1%:23.254630497686765:0.0|0.0%:0|0
