workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-nov-1,199.65149066917306,2003.0,0.0%:199.65116696116425:261.0|13.0%:6|3,0.4%:198.89555173478146:0.0|0.0%:2|1,0.9%:197.94093508871066:122.0|6.1%:2|2,0.9%:197.94093508871066:0.0|0.0%:0|0,0.9%:197.94093508871066:150.0|7.5%:2|2
montage-nov-2,187.8410920917651,1814.0,0.0%:187.841017449054:359.0|19.8%:6|3,0.4%:187.10868665898323:0.0|0.0%:0|0,0.9%:186.23532174885773:157.0|8.7%:3|2,0.9%:186.23532174885773:58.0|3.2%:2|2,0.9%:186.23532174885773:58.0|3.2%:3|2
montage-nov-3,181.62485282980694,1884.0,0.0%:181.62466190889148:252.0|13.4%:6|3,0.4%:180.91244476090608:0.0|0.0%:0|0,0.9%:180.07226505928304:160.0|8.5%:3|2,0.9%:180.07226505928304:64.0|3.4%:2|2,0.9%:180.07226505928304:64.0|3.4%:3|2
