workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
nanoseq-oct-1,67.86078125946933,19616.143,2.6%:66.09373865786587:0.0|0.0%,25.8%:50.34194120597044:905.161|4.6%,50.5%:33.61645572664154:686.13|3.5%,69.1%:20.97261121210146:0.0|0.0%,69.1%:20.97261121210146:0.0|0.0%
nanoseq-oct-2,68.4031043889202,20705.598,1.7%:67.21182922520114:0.0|0.0%,27.7%:49.45513121145499:171.785|0.8%,49.9%:34.289082596384624:105.161|0.5%,69.0%:21.226744475131582:0.0|0.0%,69.0%:21.226744475131582:0.0|0.0%
nanoseq-oct-3,67.8641785399286,19775.509,2.5%:66.18202299405785:0.0|0.0%,26.1%:50.157714846875564:973.059|4.9%,50.4%:33.684905354368354:507.757|2.6%,69.1%:20.989754571728312:0.0|0.0%,69.1%:20.989754571728312:0.0|0.0%
