workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rnaseq-mar-1,2577.637950928045,10697.0,0.0%:2577.611112163025:0.0|0.0%:1|1,0.0%:2577.611112163025:1.064|0.0%:1|1,0.3%:2571.0557676209055:536.128|5.0%:24|4,0.3%:2569.5140437847713:807.192|7.5%:25|5,0.3%:2569.5140437847713:807.192|7.5%:25|5
rnaseq-mar-2,2614.077062562098,11472.0,0.0%:2614.077062562098:0.0|0.0%:0|0,0.0%:2614.077062562098:0.0|0.0%:0|0,0.2%:2609.327612977847:429.688|3.7%:22|2,0.2%:2609.327612977847:429.688|3.7%:22|2,0.2%:2609.327612977847:429.688|3.7%:22|2
rnaseq-mar-3,2591.1688158759566,10863.0,0.0%:2591.1688158759566:0.0|0.0%:0|0,0.0%:2591.1688158759566:0.0|0.0%:0|0,0.3%:2584.383542929584:479.672|4.4%:24|4,0.3%:2584.383542929584:490.672|4.5%:24|4,0.3%:2584.383542929584:567.672|5.2%:24|4
