workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
sarek-may-1,5198.204675898068,18299.0,0.2%:5188.275979146978:978.076|5.3%:5|4,0.2%:5189.852078669976:589.307|3.2%:4|3,0.2%:5189.852078669976:589.307|3.2%:4|3,19.6%:4177.797948514087:1695.383|9.3%:47|8,73.3%:1386.4567746587854:1734.152|9.5%:84|8
sarek-may-2,5066.621246407354,17619.0,0.2%:5058.269565925628:852.236|4.8%:5|3,0.2%:5056.607891930816:1015.648|5.8%:7|5,0.2%:5056.607891930816:1015.648|5.8%:7|5,16.1%:4248.6407904657135:1913.884|10.9%:43|7,74.7%:1279.337198874514:1439.296|8.2%:81|8
sarek-may-3,5257.169211903753,18878.0,0.2%:5248.315381666072:457.834|2.4%:3|2,0.2%:5248.315381666072:457.834|2.4%:3|2,0.2%:5248.315381666072:457.834|2.4%:3|2,22.6%:4068.8827735536024:1503.919|8.0%:47|9,73.4%:1398.120017531446:2198.753|11.6%:84|10
