workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-sep-1,6031.84063679332,24817.0,0.5%:6002.308343579566:704.442|2.8%:4|3,0.9%:5975.122626086744:682.442|2.7%:10|3,1.4%:5946.412002200475:704.442|2.8%:20|3,1.5%:5942.159976917839:481.628|1.9%:23|4,1.5%:5939.087789064282:1111.07|4.5%:71|5
rangeland-sep-2,6024.404645968163,24742.0,0.4%:5997.983293661942:462.1|1.9%:3|2,0.9%:5969.680157304665:724.15|2.9%:9|3,1.4%:5938.644750573436:995.2|4.0%:19|4,1.5%:5933.918264699161:588.2|2.4%:28|5,1.5%:5931.065995408739:1109.3|4.5%:70|6
rangeland-sep-3,6033.464759791208,24839.0,0.4%:6006.926067915534:542.666|2.2%:3|2,0.9%:5978.639078631433:725.999|2.9%:9|3,1.4%:5947.594419288238:994.332|4.0%:19|4,1.5%:5942.861940571316:546.332|2.2%:28|5,1.5%:5939.969900732398:1302.998|5.2%:70|6
