workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
mag-may-1,7196.091890514896,45898.0,14.4%:6161.59335188743:0.0|0.0%:0|0,14.4%:6161.59335188743:0.0|0.0%:0|0,23.8%:5480.338518188708:6311.524|13.8%:16|2,39.3%:4368.269149724367:3574.762|7.8%:1|1,39.3%:4368.269149724367:3574.762|7.8%:1|1
mag-may-2,7126.143899193595,44188.0,15.7%:6004.141021668598:0.0|0.0%:0|0,15.7%:6004.141021668598:0.0|0.0%:0|0,23.6%:5445.9873719128755:4918.994|11.1%:16|2,39.8%:4288.602022616441:0.0|0.0%:0|0,39.8%:4288.602022616441:0.0|0.0%:0|0
mag-may-3,7262.240660800748,46342.0,13.5%:6282.8751218273555:0.0|0.0%:0|0,13.5%:6282.8751218273555:0.0|0.0%:0|0,23.3%:5573.346377679007:4076.754|8.8%:16|2,39.1%:4425.46319131702:0.0|0.0%:0|0,39.1%:4425.46319131702:0.0|0.0%:0|0
