workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
mag-feb-1,13858.329513193481,45898.0,4.8%:13196.941481333612:485.524|1.1%,5.5%:13090.917485216147:559.524|1.2%,5.7%:13066.31887817891:699.286|1.5%,-10.2%:15272.80730046433:1270.81|2.8%,13.9%:11929.845491323802:689.286|1.5%
mag-feb-2,14865.507433606237,44188.0,7.4%:13759.572010147078:543.994|1.2%,11.7%:13132.643041928151:472.994|1.1%,12.1%:13059.502466223008:1227.485|2.8%,1.6%:14633.743927223053:2093.473|4.7%,18.7%:12089.800207773716:697.988|1.6%
mag-feb-3,13584.905319968946,46342.0,3.6%:13096.641584125027:498.754|1.1%,4.1%:13025.942522839021:529.754|1.1%,4.8%:12938.715402820395:524.631|1.1%,-13.7%:15444.702122843448:1457.262|3.1%,11.7%:11994.902882140317:179.754|0.4%
