workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
mag-mar-1,3977.7795964952506,45898.0,49.5%:2009.2481726394603:368.762|0.8%,54.5%:1811.509856840802:3586.762|7.8%,55.4%:1772.4060843891355:3260.524|7.1%,55.8%:1756.296901426604:1850.524|4.0%,55.8%:1756.296901426604:1850.524|4.0%
mag-mar-2,3942.366342118419,44188.0,49.7%:1981.804088688405:320.994|0.7%,54.2%:1803.6709585855306:3457.497|7.8%,55.3%:1761.4950660858499:3560.994|8.1%,55.8%:1741.715161878887:2949.491|6.7%,55.8%:1741.715161878887:2949.491|6.7%
mag-mar-3,4004.9655813851323,46342.0,49.5%:2023.5124694037966:356.754|0.8%,54.3%:1829.4614081540167:2233.877|4.8%,55.4%:1784.5606677205024:3409.754|7.4%,55.9%:1766.582504745286:2172.754|4.7%,55.9%:1766.582504745286:2172.754|4.7%
