workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-nov-1,126.17632584298661,2003.0,26.9%:92.20337775249533:0.0|0.0%:0|0,27.7%:91.22621833139858:0.0|0.0%:0|0,27.7%:91.22621833139858:0.0|0.0%:0|0,27.7%:91.22621833139858:0.0|0.0%:0|0,41.1%:74.32521111171059:0.0|0.0%:0|0
montage-nov-2,118.62631524662571,1814.0,27.0%:86.55594607582286:0.0|0.0%:0|0,28.4%:84.9788617019583:0.0|0.0%:0|0,28.4%:84.9788617019583:0.0|0.0%:0|0,28.4%:84.9788617019583:0.0|0.0%:0|0,41.7%:69.17217513663385:0.0|0.0%:0|0
montage-nov-3,114.70060575395911,1884.0,27.0%:83.6915437005981:0.0|0.0%:0|0,28.4%:82.16664989747109:0.0|0.0%:0|0,28.4%:82.16664989747109:0.0|0.0%:0|0,28.4%:82.16664989747109:0.0|0.0%:0|0,41.7%:66.88305518885728:0.0|0.0%:0|0
