workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-jun-1,188.42282030471316,2003.0,16.2%:157.9193694671918:0.0|0.0%:0|0,14.3%:161.4669513982275:0.0|0.0%:0|0,16.6%:157.2237649958384:0.0|0.0%:7|1,27.2%:137.11776485419938:0.0|0.0%:0|0,37.0%:118.6215735778961:0.0|0.0%:23|1
montage-jun-2,177.23381721970088,1814.0,16.3%:148.34001856330138:0.0|0.0%:0|0,16.3%:148.34001856330138:0.0|0.0%:0|0,16.5%:147.90542428982167:0.0|0.0%:0|0,28.5%:126.78055831603913:0.0|0.0%:0|0,39.3%:107.58224427623888:0.0|0.0%:0|0
montage-jun-3,171.3686052957327,1884.0,16.3%:143.43099127196552:0.0|0.0%:0|0,16.3%:143.43099127196552:0.0|0.0%:0|0,16.5%:143.01077905917205:0.0|0.0%:0|0,28.5%:122.58499984967258:0.0|0.0%:0|0,39.3%:104.02201704740213:0.0|0.0%:0|0
