workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rnaseq-feb-1,1353.947758759887,10697.0,11.6%:1197.0950088360912:0.0|0.0%:0|0,14.4%:1158.8266144093334:0.0|0.0%:0|0,14.4%:1158.8266144093334:0.0|0.0%:0|0,28.6%:966.4579810224116:0.0|0.0%:0|0,39.9%:813.4506700125636:0.0|0.0%:0|0
rnaseq-feb-2,1371.7151011033675,11472.0,11.7%:1211.632178585063:0.0|0.0%:0|0,13.5%:1186.2621912055056:0.0|0.0%:1|1,13.5%:1186.2621912055056:0.0|0.0%:1|1,28.7%:978.6560314524557:0.0|0.0%:0|0,40.0%:823.636635682944:0.0|0.0%:0|0
rnaseq-feb-3,1361.0363787043145,10863.0,11.6%:1203.1661703060117:0.0|0.0%:0|0,13.5%:1177.935438391486:0.0|0.0%:1|1,13.5%:1177.935438391486:0.0|0.0%:1|1,28.6%:971.4409931366044:0.0|0.0%:0|0,39.9%:817.6292389249218:0.0|0.0%:0|0
