id,name,start,end,cpu_count,avg_cpu_usage,cpu_model,memory,rapl_timeseries,cpu_usage_timeseries,average_co2e,marginal_co2e,embodied_co2e,avg_ci,ci_timeseries
15,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,1700935975000,1700935976000,1,8.6,,1073741824.0,,,0.00010501557847222221,0.00010501557847222221,0.0,477.08,
3,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,1700935972000,1700935978000,1,91.6,,1073741824.0,,,0.0037030353249999995,0.0037030353249999995,0.0,477.08,
5,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,1700935981000,1700935990000,1,89.6,,1073741824.0,,,0.005443482800000001,0.005443482800000001,0.0,477.08,
90,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,1700935982000,1700935990000,2,164.8,,1073741824.0,,,0.008550863866666668,0.008550863866666668,0.0,477.08,
89,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,1700935982000,1700935995000,1,1.2,,1073741824.0,,,0.0007715940736111111,0.0007715940736111111,0.0,477.08,
2,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,1700935980000,1700936009000,1,26.4,,1073741824.0,,,0.006230697930555556,0.006230697930555556,0.0,477.08,
120,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700936043000,1700936045000,2,52.5,,1073741824.0,,,0.0007518068493055555,0.0007518068493055555,0.0,477.08,
115,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700936042000,1700936048000,2,0.6,,1073741824.0,,,0.0003339063041666667,0.0003339063041666667,0.0,477.08,
117,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700936042000,1700936047000,2,49.8,,1073741824.0,,,0.001796214482638889,0.001796214482638889,0.0,477.08,
97,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700936042000,1700936048000,2,45.7,,1073741824.0,,,0.0020036614562500004,0.0020036614562500004,0.0,477.08,
106,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700936042000,1700936053000,2,52.2,,1073741824.0,,,0.004114574803472222,0.004114574803472222,0.0,477.08,
92,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700936048000,1700936051000,2,75.6,,1073741824.0,,,0.0015553304958333333,0.0015553304958333333,0.0,477.08,
119,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700936048000,1700936051000,2,77.4,,1073741824.0,,,0.0015886515520833336,0.0015886515520833336,0.0,477.08,
121,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700936044000,1700936048000,2,52.5,,1073741824.0,,,0.001503613698611111,0.001503613698611111,0.0,477.08,
127,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1700936044000,1700936053000,2,84.8,,1073741824.0,,,0.005176914349999999,0.005176914349999999,0.0,477.08,
