id,name,start,end,cpu_count,avg_cpu_usage,cpu_model,memory,rapl_timeseries,cpu_usage_timeseries,average_co2e,marginal_co2e,embodied_co2e,avg_ci,ci_timeseries
4,task_mProject,1704993862000,1704993970000,1,49.4,,23396834345.0,,,0.17460068678048513,0.17460068678048513,0.0,536.81,
15,task_mProject,1704993858000,1704993971000,1,61.4,,23396834345.0,,,0.19209891646129468,0.19209891646129468,0.0,536.81,
9,task_mProject,1704993855000,1704993979000,1,48.0,,23396834345.0,,,0.1992621303500478,0.1992621303500478,0.0,536.81,
31,task_mProject,1704993855000,1704993979000,1,37.9,,23396834345.0,,,0.19056657255872833,0.19056657255872833,0.0,536.81,
24,task_mProject,1704993862000,1704993982000,1,26.7,,23396834345.0,,,0.1750877165998446,0.1750877165998446,0.0,536.81,
13,task_mProject,1704993853000,1704993984000,1,64.6,,23396834345.0,,,0.22560929785943104,0.22560929785943104,0.0,536.81,
2,task_mProject,1704993853000,1704993984000,1,63.9,,23396834345.0,,,0.2249726141725387,0.2249726141725387,0.0,536.81,
21,task_mProject,1704993854000,1704993984000,1,60.8,,23396834345.0,,,0.22045719044583859,0.22045719044583859,0.0,536.81,
19,task_mProject,1704993854000,1704993984000,1,61.0,,23396834345.0,,,0.22063771144757469,0.22063771144757469,0.0,536.81,
36,task_mProject,1704993855000,1704993984000,1,63.2,,23396834345.0,,,0.22091095444769754,0.22091095444769754,0.0,536.81,
44,task_mDiffFit,1704993992000,1704994001000,1,340.4,,2201170739.0,,,0.022349379786777007,0.022349379786777007,0.0,536.81,
29,task_mProject,1704993857000,1704994094000,1,9.1,,23396834345.0,,,0.31683711711385976,0.31683711711385976,0.0,536.81,
20,task_mProject,1704993859000,1704994094000,1,10.5,,23396834345.0,,,0.31644767115125827,0.31644767115125827,0.0,536.81,
12,task_mProject,1704993857000,1704994094000,1,35.4,,23396834345.0,,,0.3601142500339119,0.3601142500339119,0.0,536.81,
14,task_mProject,1704993858000,1704994094000,1,8.8,,23396834345.0,,,0.3150086790668472,0.3150086790668472,0.0,536.81,
26,task_mProject,1704993858000,1704994094000,1,11.9,,23396834345.0,,,0.3200882623310833,0.3200882623310833,0.0,536.81,
28,task_mProject,1704993857000,1704994094000,1,47.8,,23396834345.0,,,0.3805186777224535,0.3805186777224535,0.0,536.81,
37,task_mProject,1704993858000,1704994094000,1,25.5,,23396834345.0,,,0.3423728856838611,0.3423728856838611,0.0,536.81,
40,task_mProject,1704993859000,1704994094000,1,9.6,,23396834345.0,,,0.31497920223328946,0.31497920223328946,0.0,536.81,
22,task_mProject,1704993861000,1704994096000,1,19.2,,23396834345.0,,,0.33064287069162285,0.33064287069162285,0.0,536.81,
6,task_mProject,1704993862000,1704994101000,1,9.9,,23396834345.0,,,0.32083837173427393,0.32083837173427393,0.0,536.81,
23,task_mProject,1704993862000,1704994102000,1,17.0,,23396834345.0,,,0.3340118604288559,0.3340118604288559,0.0,536.81,
18,task_mProject,1704993856000,1704994101000,1,14.0,,23396834345.0,,,0.33586725099768616,0.33586725099768616,0.0,536.81,
8,task_mProject,1704993861000,1704994102000,1,16.8,,23396834345.0,,,0.3350689183492192,0.3350689183492192,0.0,536.81,
11,task_mProject,1704993862000,1704994096000,1,10.5,,23396834345.0,,,0.31510108531657205,0.31510108531657205,0.0,536.81,
3,task_mProject,1704993862000,1704994101000,1,16.6,,23396834345.0,,,0.33195638250658294,0.33195638250658294,0.0,536.81,
10,task_mProject,1704993856000,1704994101000,1,23.7,,23396834345.0,,,0.3523675648679118,0.3523675648679118,0.0,536.81,
16,task_mProject,1704993862000,1704994102000,1,17.6,,23396834345.0,,,0.3350116690538559,0.3350116690538559,0.0,536.81,
1,task_mProject,1704993861000,1704994102000,1,17.4,,23396834345.0,,,0.33607289284349,0.33607289284349,0.0,536.81,
25,task_mProject,1704993862000,1704994096000,1,12.6,,23396834345.0,,,0.31851293224938454,0.31851293224938454,0.0,536.81,
7,task_mProject,1704993862000,1704994101000,1,14.3,,23396834345.0,,,0.3281397519429544,0.3281397519429544,0.0,536.81,
39,task_mProject,1704993862000,1704994102000,1,15.8,,23396834345.0,,,0.3320122431788559,0.3320122431788559,0.0,536.81,
38,task_mProject,1704993855000,1704994101000,1,11.3,,23396834345.0,,,0.33262652045363983,0.33262652045363983,0.0,536.81,
33,task_mProject,1704993861000,1704994102000,1,12.3,,23396834345.0,,,0.32753910964218796,0.32753910964218796,0.0,536.81,
35,task_mProject,1704993862000,1704994096000,1,20.6,,23396834345.0,,,0.33151044437438454,0.33151044437438454,0.0,536.81,
34,task_mProject,1704993862000,1704994101000,1,11.2,,23396834345.0,,,0.3229955977050204,0.3229955977050204,0.0,536.81,
41,task_mDiffFit,1704993977000,1704994108000,1,3.8,,2201170739.0,,,0.01915374053583066,0.01915374053583066,0.0,536.81,
42,task_mDiffFit,1704993990000,1704994104000,1,3.6,,2201170739.0,,,0.01650983758667548,0.01650983758667548,0.0,536.81,
43,task_mDiffFit,1704993992000,1704994104000,1,3.8,,2201170739.0,,,0.016375717099336138,0.016375717099336138,0.0,536.81,
30,task_mProject,1704993861000,1704994102000,1,17.1,,23396834345.0,,,0.3355709055963546,0.3355709055963546,0.0,536.81,
