workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-apr-1,2347.7427596883163,24817.0,0.0%:2347.7427596883163:0.0|0.0%:0|0,7.4%:2173.602323868041:249.814|1.0%:11|1,32.1%:1594.5293166746856:0.0|0.0%:0|0,34.5%:1538.2722350935865:335.814|1.4%:20|1,50.5%:1163.1534668640998:0.0|0.0%:0|0
rangeland-apr-2,2343.6123012291937,24742.0,0.0%:2343.6123012291937:0.0|0.0%:0|0,6.5%:2192.140352852855:323.05|1.3%:10|1,32.0%:1592.914960173062:0.0|0.0%:21|1,33.7%:1554.825644439144:323.05|1.3%:19|1,50.4%:1161.7429534698213:0.0|0.0%:21|1
rangeland-apr-3,2348.014017343374,24839.0,0.0%:2348.014017343374:0.0|0.0%:0|0,6.5%:2195.3938761170284:271.333|1.1%:10|1,32.1%:1595.3396341412526:0.0|0.0%:21|1,33.7%:1557.1776904959142:271.333|1.1%:19|1,50.4%:1163.593079529047:0.0|0.0%:21|1
