workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-apr-1,78.27820995241842,2003.0,20.5%:62.25418524944132:0.0|0.0%:1|1,20.5%:62.25418524944132:0.0|0.0%:1|1,20.5%:62.25418524944132:0.0|0.0%:1|1,20.5%:62.25418524944132:0.0|0.0%:1|1,45.1%:42.96955881181985:0.0|0.0%:18|1
montage-apr-2,73.24033596467086,1814.0,21.0%:57.83240084614741:0.0|0.0%:0|0,21.0%:57.83240084614741:0.0|0.0%:0|0,21.0%:57.83240084614741:0.0|0.0%:0|0,21.0%:57.83240084614741:0.0|0.0%:0|0,44.9%:40.34110142692216:0.0|0.0%:0|0
montage-apr-3,70.81658806737808,1884.0,21.0%:55.918548894214005:0.0|0.0%:0|0,21.0%:55.918548894214005:0.0|0.0%:0|0,21.0%:55.918548894214005:0.0|0.0%:0|0,21.0%:55.918548894214005:0.0|0.0%:0|0,44.9%:39.00609035044181:0.0|0.0%:0|0
