workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
sarek-nov-1,3958.719884348888,18299.0,0.0%:3958.719884348888:0.0|0.0%:0|0,0.0%:3958.719884348888:0.0|0.0%:0|0,0.0%:3958.719884348888:0.0|0.0%:0|0,0.0%:3958.719884348888:0.0|0.0%:0|0,3.7%:3811.23076466879:3528.769|19.3%:21|1
sarek-nov-2,3857.971568245978,17619.0,0.0%:3857.971568245978:0.0|0.0%:0|0,0.0%:3857.971568245978:0.0|0.0%:0|0,0.0%:3857.971568245978:0.0|0.0%:0|0,0.0%:3857.971568245978:0.0|0.0%:0|0,3.8%:3712.9107834808256:3010.412|17.1%:21|1
sarek-nov-3,4007.301285692326,18878.0,0.0%:4007.301285692326:0.0|0.0%:0|0,0.0%:4007.301285692326:0.0|0.0%:0|0,0.0%:4007.301285692326:0.0|0.0%:0|0,0.0%:4007.301285692326:0.0|0.0%:0|0,3.8%:3856.2616774563176:2707.417|14.3%:21|1
