workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
sarek-jun-1,6267.458516371936,18299.0,4.3%:5997.676505810046:0.0|0.0%,4.3%:5997.676505810046:0.0|0.0%,36.4%:3988.456175114911:2569.769|14.0%,47.2%:3309.418078756367:0.0|0.0%,47.2%:3309.418078756367:0.0|0.0%
sarek-jun-2,6292.89793778559,17619.0,4.1%:6034.678539379111:0.0|0.0%,4.1%:6034.678539379111:0.0|0.0%,36.3%:4010.750181878895:0.0|0.0%,47.2%:3320.6372175911965:0.0|0.0%,47.2%:3320.6372175911965:0.0|0.0%
sarek-jun-3,6242.835827906956,18878.0,3.6%:6017.348109296518:0.0|0.0%,3.6%:6017.348109296518:0.0|0.0%,36.1%:3989.6730768719153:2375.417|12.6%,46.8%:3318.615340235102:0.0|0.0%,46.8%:3318.615340235102:0.0|0.0%
