workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
chipseq-apr-1,1578.6391744681796,13607.0,25.4%:1177.906168068718:0.0|0.0%,25.4%:1177.906168068718:0.0|0.0%,41.5%:924.0276612600874:0.0|0.0%,47.5%:828.3489728399794:0.0|0.0%,57.7%:667.711841511354:0.0|0.0%
chipseq-apr-2,1563.4753857474045,13099.0,25.5%:1165.5656905807489:0.0|0.0%,25.5%:1165.5656905807489:0.0|0.0%,41.3%:917.1998994535977:0.0|0.0%,47.6%:819.2871886295225:0.0|0.0%,57.7%:661.4031941512369:0.0|0.0%
chipseq-apr-3,1572.2168845673266,13266.0,25.5%:1171.5781572510464:0.0|0.0%,25.5%:1171.5781572510464:0.0|0.0%,41.4%:920.9849845685858:0.0|0.0%,47.6%:823.6537283436294:0.0|0.0%,57.7%:664.5772750273557:0.0|0.0%
