workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-may-1,109.02498082484561,2003.0,100.0%:0.0:111.0|5.5%:4|2,100.0%:0.0:0.0|0.0%:3|1,100.0%:0.0:0.0|0.0%:1|1,100.0%:0.0:111.0|5.5%:4|2,100.0%:0.0:356.0|17.8%:33|2
montage-may-2,88.66000218090272,1814.0,100.0%:0.0:202.0|11.1%:5|2,100.0%:0.0:353.0|19.5%:10|3,100.0%:0.0:0.0|0.0%:0|0,100.0%:0.0:202.0|11.1%:1|1,100.0%:0.0:260.0|14.3%:45|3
montage-may-3,89.65121736663272,1884.0,100.0%:0.0:92.0|4.9%:5|2,100.0%:0.0:357.0|18.9%:10|3,100.0%:0.0:0.0|0.0%:0|0,100.0%:0.0:92.0|4.9%:1|1,100.0%:0.0:156.0|8.3%:45|3
