workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-nov-1,359.73302634496434,2003.0,2.5%:350.66717724944425:0.0|0.0%:0|0,3.2%:348.35540281241964:0.0|0.0%:2|1,3.9%:345.5591776271066:0.0|0.0%:5|1,4.0%:345.33259611532117:0.0|0.0%:0|0,5.2%:341.0522116736083:103.0|5.1%:67|2
montage-nov-2,338.50705647849776,1814.0,2.7%:329.5321070513649:0.0|0.0%:0|0,3.2%:327.7052174820375:0.0|0.0%:0|0,4.0%:325.0426809309863:0.0|0.0%:0|0,4.0%:324.89651576183326:0.0|0.0%:1|1,5.2%:320.7403735326223:99.0|5.5%:66|1
montage-nov-3,327.2534764527697,1884.0,2.6%:318.5928087276585:0.0|0.0%:0|0,3.2%:316.8546528248818:0.0|0.0%:0|0,4.0%:314.2807957189648:0.0|0.0%:0|0,4.0%:314.1461442651985:0.0|0.0%:1|1,5.2%:310.1023268435413:96.0|5.1%:66|1
