workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-oct-1,123.80171161149072,2003.0,6.0%:116.41103310212344:0.0|0.0%:3|1,56.9%:53.330026030884646:0.0|0.0%:0|0,57.3%:52.81846857440718:0.0|0.0%:3|1,61.3%:47.86301489790919:0.0|0.0%:0|0,76.0%:29.75480134342751:0.0|0.0%:0|0
montage-oct-2,116.48022599923614,1814.0,6.1%:109.32958207682746:0.0|0.0%:0|0,57.1%:49.96042003682908:0.0|0.0%:0|0,57.3%:49.68263813006884:0.0|0.0%:0|0,61.3%:45.023070661832605:0.0|0.0%:0|0,76.0%:27.96188516275224:0.0|0.0%:0|0
montage-oct-3,112.62553719799938,1884.0,6.1%:105.71153006791216:0.0|0.0%:0|0,57.1%:48.30707613258292:0.0|0.0%:0|0,57.3%:48.03848688316851:0.0|0.0%:0|0,61.3%:43.53311882847509:0.0|0.0%:0|0,76.0%:27.036540412828447:0.0|0.0%:0|0
