workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
chipseq-oct-1,3282.034279667364,13607.0,0.0%:3280.660744830847:566.942|4.2%:2|2,0.0%:3280.660744830847:566.942|4.2%:2|2,0.0%:3280.660744830847:566.942|4.2%:2|2,6.1%:3080.6061465394373:1438.355|10.6%:48|5,80.9%:626.1252583005012:1106.884|8.1%:7|4
chipseq-oct-2,3243.2340584163767,13099.0,0.1%:3241.3554065259978:941.56|7.2%:4|4,0.1%:3241.3554065259978:941.56|7.2%:4|4,0.1%:3241.3187752884946:941.56|7.2%:4|4,3.6%:3126.791677037627:1668.84|12.7%:48|6,80.7%:624.9234695455898:864.42|6.6%:7|3
chipseq-oct-3,3264.12208380804,13266.0,0.1%:3262.486827008489:794.116|6.0%:3|3,0.1%:3262.486827008489:794.116|6.0%:3|3,0.1%:3262.486827008489:794.116|6.0%:3|3,4.5%:3117.037835753142:1726.232|13.0%:48|6,80.8%:626.6757117251358:781.116|5.9%:7|3
