workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rnaseq-oct-1,1371.6790590222647,10697.0,35.2%:888.8871675751726:0.0|0.0%:0|0,64.1%:492.3699077744673:1412.064|13.2%:1|1,64.1%:492.3699077744673:1412.064|13.2%:1|1,64.1%:492.3699077744673:1412.064|13.2%:1|1,74.5%:349.6814587348572:0.0|0.0%:0|0
rnaseq-oct-2,1388.6446567217695,11472.0,35.5%:895.5000194952431:0.0|0.0%:0|0,63.8%:502.94013161470497:0.0|0.0%:0|0,63.8%:502.94013161470497:0.0|0.0%:0|0,63.8%:502.94013161470497:0.0|0.0%:0|0,73.7%:364.6980960736741:0.0|0.0%:0|0
rnaseq-oct-3,1378.6761646946834,10863.0,35.3%:892.3699645535689:0.0|0.0%:0|0,63.8%:499.3566550378433:0.0|0.0%:0|0,63.8%:499.3566550378433:0.0|0.0%:0|0,63.8%:499.3566550378433:0.0|0.0%:0|0,73.7%:362.25079541974225:0.0|0.0%:0|0
