workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-mar-1,77.97465309659505,2003.0,13.4%:67.55341367191873:0.0|0.0%:3|1,70.8%:22.766432456920665:0.0|0.0%:0|0,70.8%:22.789044966940903:0.0|0.0%:0|0,74.1%:20.201109896695023:0.0|0.0%:1|1,74.1%:20.201109896695023:0.0|0.0%:1|1
montage-mar-2,73.34338409137223,1814.0,13.7%:63.29843191465529:0.0|0.0%:0|0,70.8%:21.39368717387309:0.0|0.0%:0|0,70.8%:21.39368717387309:0.0|0.0%:0|0,74.2%:18.91157142637033:0.0|0.0%:0|0,74.2%:18.91157142637033:0.0|0.0%:0|0
montage-mar-3,70.91622601474148,1884.0,13.7%:61.203692189142814:0.0|0.0%:0|0,70.8%:20.685704289577927:0.0|0.0%:0|0,70.8%:20.685704289577927:0.0|0.0%:0|0,74.2%:18.285729383520092:0.0|0.0%:0|0,74.2%:18.285729383520092:0.0|0.0%:0|0
