workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
nanoseq-feb-1,111.00905798106422,19616.143,68.4%:35.0293505204276:0.0|0.0%,74.3%:28.48093862827315:0.0|0.0%,74.3%:28.48093862827315:0.0|0.0%,74.3%:28.48093862827315:0.0|0.0%,74.3%:28.48093862827315:0.0|0.0%
nanoseq-feb-2,112.05188151453456,20705.598,70.1%:33.481686519228745:0.0|0.0%,74.1%:28.9804533319201:0.0|0.0%,74.1%:28.9804533319201:0.0|0.0%,74.1%:28.9804533319201:0.0|0.0%,74.1%:28.9804533319201:0.0|0.0%
nanoseq-feb-3,110.67892851241822,19775.509,68.6%:34.73111221546286:0.0|0.0%,74.3%:28.45088743435175:0.0|0.0%,74.3%:28.45088743435175:0.0|0.0%,74.3%:28.45088743435175:0.0|0.0%,74.3%:28.45088743435175:0.0|0.0%
