workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
mag-dec-1,3828.073455308685,45898.0,7.8%:3530.4308635799007:2959.762|6.4%:1|1,7.8%:3530.4308635799007:2959.762|6.4%:1|1,28.8%:2726.283161457998:0.0|0.0%:17|1,30.2%:2672.488177037899:3586.762|7.8%:17|1,32.4%:2589.0589726818903:3574.762|7.8%:87|2
mag-dec-2,3845.252458759499,44188.0,9.8%:3469.969212815442:0.0|0.0%:0|0,9.8%:3469.969212815442:0.0|0.0%:0|0,29.0%:2729.813641073495:2628.497|5.9%:16|1,31.1%:2649.798746671078:2628.497|5.9%:17|1,33.1%:2571.707019178715:1183.497|2.7%:86|2
mag-dec-3,3854.309957831146,46342.0,7.3%:3573.450374642862:0.0|0.0%:0|0,7.3%:3573.450374642862:0.0|0.0%:0|0,28.8%:2745.6258960558716:2158.877|4.7%:16|1,30.1%:2694.4675073045164:2158.877|4.7%:17|1,31.9%:2623.594047737718:178.877|0.4%:86|2
