workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
nanoseq-oct-1,173.35663903880396,19616.143,0.2%:173.02580498454:0.0|0.0%:2|1,0.2%:173.02580498454:0.0|0.0%:2|1,0.7%:172.20574856196686:0.0|0.0%:28|1,31.0%:119.69427856678067:0.0|0.0%:52|6,81.6%:31.834287101943058:346.887|1.8%:11|2
nanoseq-oct-2,176.50514564980264,20705.598,0.3%:175.95524623381158:0.0|0.0%:0|0,0.3%:175.95524623381158:0.0|0.0%:0|0,4.8%:168.11862859463906:142.987|0.7%:30|2,35.6%:113.61167765169589:0.0|0.0%:54|5,81.7%:32.30700382274734:0.0|0.0%:13|2
nanoseq-oct-3,173.0907686344206,19775.509,0.2%:172.6901466995677:0.0|0.0%:0|0,0.2%:172.6901466995677:0.0|0.0%:0|0,1.3%:170.85756692467956:0.0|0.0%:29|1,31.8%:117.98088006065115:207.757|1.1%:53|5,81.7%:31.601887169865265:0.0|0.0%:12|1
