Region,Month,Workflow,Original Footprint (gCO2e),Makespan (s),Reduction 6h (%),Overhead,Reduction 12h (%),Overhead,Reduction 24h (%),Overhead,Reduction 48h (%),Overhead,Reduction 96h (%),Overhead
gb,jan,chipseq,3023.26,13324,0.83,1266.86,1.73,843.12,2.80,1373.86,4.57,835.42,5.47,1266.86
gb,jan,mag,5580.05,45476,0.40,837.49,0.77,310.99,1.83,1202.38,4.67,432.49,7.93,837.49
gb,jan,montage,148.40,1900,0.00,0.00,0.00,0.00,0.00,0.00,0.43,503.18,1.00,0.00
gb,jan,nanoseq,165.74,20032,0.77,258.10,1.00,146.14,2.00,354.53,4.17,241.56,5.23,258.10
gb,jan,rangeland,2898.05,24799,0.50,540.10,1.00,622.44,1.90,876.20,2.80,505.63,5.40,540.10
gb,jan,rnaseq,2078.45,11011,0.03,827.53,0.43,999.26,2.70,1040.34,4.70,818.01,5.50,827.53
gb,jan,sarek,3903.78,18265,0.33,1103.65,0.47,358.83,1.33,655.25,3.67,543.82,4.83,1103.65
gb,feb,chipseq,2669.49,13324,1.70,0.00,2.00,565.28,2.00,295.14,2.00,565.28,2.00,0.00
gb,feb,mag,5306.14,45476,0.43,1035.05,1.00,685.49,2.07,299.88,4.20,0.00,5.20,1035.05
gb,feb,montage,146.70,1900,4.97,47.00,7.90,202.00,8.30,0.00,8.30,245.00,8.30,47.00
gb,feb,nanoseq,145.60,20032,0.03,14.95,0.03,14.95,0.03,14.95,0.03,14.95,0.07,14.95
gb,feb,rangeland,2597.80,24799,0.00,296.81,0.00,296.81,0.00,296.81,0.00,296.81,0.93,296.81
gb,feb,rnaseq,1833.01,11011,1.60,0.00,2.07,274.84,2.10,260.34,2.10,260.34,2.10,0.00
gb,feb,sarek,3461.87,18265,0.73,0.00,0.83,293.41,0.83,294.41,0.83,294.41,0.83,0.00
gb,mar,chipseq,3027.58,13324,0.10,270.14,0.20,1175.49,0.50,1154.56,1.20,602.42,1.43,270.14
gb,mar,mag,5674.82,45476,0.47,283.76,0.97,283.76,2.30,286.50,6.27,622.29,12.57,283.76
gb,mar,montage,152.70,1900,0.00,0.00,0.00,353.00,1.53,47.00,11.50,0.00,11.50,0.00
gb,mar,nanoseq,167.07,20032,0.20,390.12,0.40,0.00,0.67,146.14,0.67,346.89,3.87,390.12
gb,mar,rangeland,2925.59,24799,0.10,241.81,0.10,749.44,0.10,768.44,0.20,1166.07,5.13,241.81
gb,mar,rnaseq,2079.94,11011,0.00,296.34,0.10,1171.38,0.40,758.01,1.40,693.19,1.60,296.34
gb,mar,sarek,3947.91,18265,0.13,258.41,0.33,848.31,0.70,671.67,0.77,857.25,3.17,258.41
gb,apr,chipseq,2699.57,13324,1.97,583.28,2.97,835.42,6.03,847.41,9.83,831.41,9.83,583.28
gb,apr,mag,5182.13,45476,0.13,284.50,0.43,243.50,1.50,824.49,4.43,243.50,8.90,284.50
gb,apr,montage,125.07,1900,0.00,0.00,0.00,99.00,0.00,394.00,0.00,202.00,0.00,0.00
