Region,Month,Workflow,Original Footprint (gCO2e),Makespan (s),Reduction 6h (%),Overhead,Reduction 12h (%),Overhead,Reduction 24h (%),Overhead,Reduction 48h (%),Overhead,Reduction 96h (%),Overhead
gb,aug,nanoseq,12.13,20032,4.97,0.00,4.97,0.00,12.33,973.06,12.33,973.06,27.03,0.00
gb,aug,rangeland,347.22,24799,3.07,0.00,3.07,0.00,13.00,221.33,13.00,221.33,26.73,0.00
gb,aug,rnaseq,184.89,11011,19.17,0.00,19.17,0.00,19.57,1624.34,26.53,0.00,36.07,0.00
gb,aug,sarek,319.58,18265,10.03,0.00,10.03,0.00,16.97,1277.41,17.27,1277.41,31.13,0.00
gb,sep,chipseq,486.65,13324,33.30,0.00,33.30,0.00,33.30,0.00,46.87,0.00,57.60,0.00
gb,sep,mag,1419.84,45476,20.47,3586.76,20.47,4028.99,28.40,6226.29,47.70,6607.29,47.70,3586.76
gb,sep,montage,29.42,1900,28.27,0.00,28.27,0.00,41.83,0.00,63.40,0.00,63.40,0.00
gb,sep,nanoseq,21.99,20032,16.63,0.00,18.30,2616.28,18.80,686.13,42.70,0.00,46.47,0.00
gb,sep,rangeland,610.21,24799,5.37,0.00,11.30,608.63,14.83,522.63,43.00,0.00,43.00,0.00
gb,sep,rnaseq,374.52,11011,39.30,1412.06,39.30,1412.06,39.30,1412.06,49.00,0.00,60.80,1412.06
gb,sep,sarek,590.80,18265,23.43,0.00,24.03,3010.41,25.97,3528.77,44.83,0.00,49.70,0.00
gb,oct,chipseq,1540.65,13324,6.50,0.00,18.20,792.14,53.37,0.00,70.70,0.00,70.70,0.00
gb,oct,mag,4371.67,45476,23.23,3586.76,35.73,1842.88,50.80,3943.52,67.10,1842.88,67.10,3586.76
gb,oct,montage,62.52,1900,25.83,0.00,44.67,0.00,58.60,0.00,58.60,0.00,60.70,0.00
gb,oct,nanoseq,78.71,20032,2.13,0.00,26.83,973.06,50.17,686.13,69.03,0.00,69.03,0.00
gb,oct,rangeland,2218.33,24799,1.30,0.00,30.47,421.33,48.97,249.81,68.97,0.00,68.97,0.00
gb,oct,rnaseq,1105.00,11011,8.53,0.00,13.83,1624.34,55.07,0.00,71.23,0.00,71.23,0.00
gb,oct,sarek,1988.47,18265,4.07,0.00,22.60,1277.41,51.53,3528.77,69.53,0.00,69.53,0.00
gb,nov,chipseq,991.96,13324,2.47,0.00,12.97,792.14,27.53,0.00,27.53,0.00,27.53,0.00
