task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,cpu_model
1,-,104682,NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,samplesheet_full.csv,NFCORE_NANOSEQ:NANOSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1725375759919,1744185559935,1744185561561,1642,0,-,89.7,0.0,10215424,33243136,10215424,33247232,680249,1034,244,17,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
2,-,105940,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT,A549_R1,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R1),COMPLETED,0,-,quay.io/biocontainers/nanoplot:1.41.0--pyhdfd78af_0,2,14400000,-,12884901888,1,1725377488314,1744187288405,1744187625894,337580,337000,-,96.9,7.3,2400739328,37585547264,2602332160,63123709952,2412819442,27582996,578195,551,1531904,10334208,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
4,-,120032,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725377836904,1744187637004,1744187645729,8825,8000,-,99.6,0.0,4833280,12550144,4833280,12554240,3147395756,5621,48248,19,8192000,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
14,-,120022,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725377836900,1744187636904,1744187646001,9101,8000,-,100.0,0.0,4853760,12550144,4853760,12554240,3147395756,5622,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
20,-,120056,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725377836909,1744187637005,1744187646201,9292,8000,-,100.0,0.0,4861952,12550144,4861952,12554240,3147395755,5622,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
11,-,121988,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725377845734,1744187645829,1744187656748,11014,10000,-,100.1,0.0,4698112,12550144,4698112,12554240,3147395755,5622,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
8,-,122083,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725377846010,1744187646101,1744187656768,10758,10000,-,100.1,0.0,4837376,12550144,4837376,12554240,3147395755,5622,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
17,-,122122,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX,genome.fa,NFCORE_NANOSEQ:NANOSEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1725377846205,1744187646302,1744187656858,10653,10000,-,99.9,0.0,4870144,12550144,4870144,12554240,3147395754,5621,48248,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
6,-,108168,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT,A549_R2,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R2),COMPLETED,0,-,quay.io/biocontainers/nanoplot:1.41.0--pyhdfd78af_0,2,14400000,-,12884901888,1,1725377572331,1744187372356,1744187706933,334602,334000,-,96.2,5.7,1910525952,31456108544,1973694464,52606754816,2443378274,25591781,586136,551,0,10403840,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
3,-,128046,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC,A549_R1,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,25769803776,1,1725377906940,1744187707034,1744187821063,114123,112000,-,102.7,3.6,1199136768,4491829248,1199136768,4492951552,2355372806,1940885,4570470,5819,0,2244608,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
