workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
sarek-jun-1,5470.097688948346,18299.0,19.5%:4403.190406144363:273.769|1.5%,19.5%:4402.863866765922:0.0|0.0%,19.5%:4402.863866765922:536.307|2.9%,19.5%:4402.863866765922:291.769|1.6%,19.5%:4402.863866765922:955.076|5.2%
sarek-jun-2,5332.095573094508,17619.0,19.2%:4307.197363231795:289.412|1.6%,19.2%:4306.866866342683:0.0|0.0%,19.2%:4306.866866342683:722.236|4.1%,19.2%:4306.866866342683:111.412|0.6%,19.2%:4306.866866342683:494.824|2.8%
sarek-jun-3,5532.104062358931,18878.0,19.7%:4442.497599508069:252.417|1.3%,19.7%:4442.163370538416:0.0|0.0%,19.7%:4442.163370538416:802.251|4.2%,19.7%:4442.163370538416:550.834|2.9%,19.7%:4442.163370538416:761.251|4.0%
