workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
nanoseq-jul-1,218.532610905604,19616.143,0.0%:218.50015993906283:0.0|0.0%:10|2,0.0%:218.48286590592406:142.139|0.7%:16|2,0.0%:218.45036888316415:21.256|0.1%:28|6,0.1%:218.3704504881072:0.0|0.0%:52|4,0.1%:218.30852450100048:128.679|0.7%:22|4
nanoseq-jul-2,222.061615295055,20705.598,0.0%:222.01768257708164:241.557|1.2%:12|1,0.0%:222.00339647024566:0.0|0.0%:18|1,0.0%:221.9669873198703:0.0|0.0%:30|5,0.1%:221.88807442058211:0.0|0.0%:54|4,0.1%:221.83472091039732:0.0|0.0%:20|4
nanoseq-jul-3,218.1476221034992,19775.509,0.0%:218.11240941479844:0.0|0.0%:11|1,0.0%:218.09726486116563:0.0|0.0%:17|1,0.0%:218.06416357879905:0.0|0.0%:29|5,0.1%:217.98527279866886:0.0|0.0%:53|3,0.1%:217.9245088270506:19.718|0.1%:23|4
