workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
mag-oct-1,11329.597565996883,45898.0,0.0%:11329.251712630386:0.0|0.0%,0.0%:11329.012779265347:485.524|1.1%,0.0%:11328.545689599738:531.524|1.2%,0.0%:11328.321830972945:2169.858|4.7%,0.0%:11328.319722310462:2191.62|4.8%
mag-oct-2,11199.658181338025,44188.0,0.0%:11199.307376689976:0.0|0.0%,0.0%:11199.050130986465:267.994|0.6%,0.0%:11198.71685141549:187.497|0.4%,0.0%:11198.299152392738:2194.97|5.0%,0.0%:11198.277171729089:2044.473|4.6%
mag-oct-3,11419.140162843254,46342.0,0.0%:11418.827605487377:234.877|0.5%,0.0%:11418.581169833702:79.754|0.2%,0.0%:11418.069081762533:149.877|0.3%,0.0%:11417.875099111105:1959.893|4.2%,0.0%:11417.874872314751:1919.016|4.1%
