workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
sarek-oct-1,5092.517488277846,18299.0,0.7%:5054.725694370808:0.0|0.0%,18.2%:4167.504020600891:0.0|0.0%,39.5%:3078.933202761712:0.0|0.0%,39.5%:3078.933202761712:0.0|0.0%,39.5%:3078.933202761712:0.0|0.0%
sarek-oct-2,4964.455599660717,17619.0,0.7%:4927.439290263997:0.0|0.0%,17.4%:4101.148436888826:0.0|0.0%,40.1%:2971.406110848545:0.0|0.0%,40.1%:2971.406110848545:0.0|0.0%,40.1%:2971.406110848545:0.0|0.0%
sarek-oct-3,5150.160363726089,18878.0,0.7%:5112.241804380744:0.0|0.0%,18.5%:4197.290138856598:0.0|0.0%,39.4%:3122.665899648782:0.0|0.0%,39.4%:3122.665899648782:0.0|0.0%,39.4%:3122.665899648782:0.0|0.0%
