workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-may-1,255.10826372686796,2003.0,0.0%:255.09943793172505:0.0|0.0%:0|0,0.0%:255.09943793172505:47.0|2.3%:2|2,0.0%:255.09943793172505:0.0|0.0%:1|1,0.0%:255.09943793172505:111.0|5.5%:4|2,0.0%:255.09943793172505:111.0|5.5%:3|2
montage-may-2,240.00901196621726,1814.0,0.0%:240.00901196621726:0.0|0.0%:5|1,0.0%:240.00901196621726:99.0|5.5%:1|1,0.0%:240.00901196621726:0.0|0.0%:0|0,0.0%:240.00901196621726:202.0|11.1%:1|1,0.0%:240.00901196621726:0.0|0.0%:1|1
montage-may-3,232.06637584334302,1884.0,0.0%:232.06637584334302:0.0|0.0%:5|1,0.0%:232.06637584334302:96.0|5.1%:1|1,0.0%:232.06637584334302:0.0|0.0%:0|0,0.0%:232.06637584334302:92.0|4.9%:1|1,0.0%:232.06637584334302:0.0|0.0%:1|1
