workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rnaseq-sep-1,2720.9457150011244,10697.0,0.8%:2699.408556284292:0.0|0.0%:6|1,6.4%:2547.6818207023607:0.0|0.0%:0|0,26.0%:2014.6040733652803:0.0|0.0%:0|0,27.4%:1974.0769319798203:0.0|0.0%:22|1,27.4%:1974.0769319798203:0.0|0.0%:22|1
rnaseq-sep-2,2754.4079958982297,11472.0,0.8%:2732.4853516579556:0.0|0.0%:6|1,6.5%:2576.0578072729236:0.0|0.0%:0|0,26.0%:2039.6347194103955:0.0|0.0%:0|0,26.9%:2013.430685286411:0.0|0.0%:21|1,26.9%:2013.430685286411:0.0|0.0%:21|1
rnaseq-sep-3,2734.8074179756304,10863.0,0.8%:2713.123609090518:0.0|0.0%:6|1,6.4%:2560.0231256784878:0.0|0.0%:0|0,26.0%:2024.857204266988:0.0|0.0%:0|0,26.9%:1999.2887464358846:0.0|0.0%:21|1,26.9%:1999.2887464358846:0.0|0.0%:21|1
