workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
mag-jun-1,10594.275457060074,45898.0,11.2%:9411.689711831019:4441.524|9.7%:6|2,18.7%:8615.39124047932:0.0|0.0%:0|0,18.7%:8615.39124047932:0.0|0.0%:0|0,31.1%:7303.262564630696:3586.762|7.8%:18|1,34.4%:6950.721485047365:6612.286|14.4%:62|3
mag-jun-2,10480.942996781288,44188.0,10.0%:9432.267490626355:1461.497|3.3%:6|2,20.1%:8375.31440654669:0.0|0.0%:12|1,20.1%:8375.31440654669:0.0|0.0%:12|1,31.1%:7220.389912952418:3457.497|7.8%:17|1,34.1%:6909.416917185565:6189.491|14.0%:61|3
mag-jun-3,10674.345131736776,46342.0,11.3%:9463.305386472837:2021.754|4.4%:6|2,18.3%:8724.733376920682:0.0|0.0%:12|1,18.3%:8724.733376920682:0.0|0.0%:12|1,30.8%:7390.158899000869:2233.877|4.8%:17|1,34.2%:7028.0700073830085:5568.631|12.0%:61|3
