workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-oct-1,5716.23820920272,24817.0,0.6%:5681.68504563141:0.0|0.0%:0|0,25.3%:4269.242798331579:0.0|0.0%:2|1,36.7%:3618.549557258912:0.0|0.0%:0|0,36.7%:3618.549557258912:0.0|0.0%:0|0,37.8%:3555.9145005251794:272.814|1.1%:46|1
rangeland-oct-2,5708.474247122334,24742.0,0.6%:5673.897593282332:0.0|0.0%:6|1,25.2%:4267.252094434422:0.05|0.0%:12|2,36.7%:3611.9800826763403:0.0|0.0%:0|0,34.8%:3724.651644396562:267.05|1.1%:20|1,37.7%:3556.005383217346:268.05|1.1%:45|1
rangeland-oct-3,5716.817332131964,24839.0,0.6%:5682.232943514507:0.0|0.0%:6|1,25.3%:4273.063396431133:0.333|0.0%:12|2,36.7%:3618.4913706734606:0.0|0.0%:0|0,34.7%:3731.1250284411417:327.333|1.3%:20|1,37.7%:3561.6497300031424:155.333|0.6%:45|1
