workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rnaseq-nov-1,2704.715460434142,10697.0,0.1%:2701.8911261246817:1412.064|13.2%:4|2,10.4%:2422.8180653730033:0.0|0.0%:0|0,38.0%:1677.6242826366954:0.0|0.0%:0|0,46.3%:1451.9618905709576:0.0|0.0%:0|0,46.3%:1451.9618905709576:0.0|0.0%:0|0
rnaseq-nov-2,2737.9188345812886,11472.0,0.1%:2735.913415340033:1606.844|14.0%:3|2,10.6%:2447.3803811400776:0.0|0.0%:0|0,36.0%:1751.4452815044756:0.0|0.0%:0|0,43.0%:1560.1013418404964:0.0|0.0%:21|1,43.0%:1560.1013418404964:0.0|0.0%:21|1
rnaseq-nov-3,2718.4713227724496,10863.0,0.1%:2716.4740516298493:1624.336|15.0%:3|2,10.5%:2434.0277734002925:0.0|0.0%:0|0,36.0%:1739.62936467951:0.0|0.0%:0|0,43.0%:1550.087346569781:0.0|0.0%:21|1,43.0%:1550.087346569781:0.0|0.0%:21|1
