workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-jun-1,255.31544084275953,2003.0,0.0%:255.31220376267134:0.0|0.0%:6|1,0.1%:255.10826372686796:0.0|0.0%:1|1,0.1%:255.09943793172505:0.0|0.0%:1|1,0.1%:255.09943793172505:111.0|5.5%:4|2,0.1%:255.09943793172505:111.0|5.5%:3|2
montage-jun-2,240.21223720920304,1814.0,0.0%:240.21149078209174:0.0|0.0%:6|1,0.1%:240.00901196621726:0.0|0.0%:0|0,0.1%:240.00901196621726:0.0|0.0%:0|0,0.1%:240.00901196621726:202.0|11.1%:1|1,0.1%:240.00901196621726:0.0|0.0%:1|1
montage-jun-3,232.26287573821463,1884.0,0.0%:232.26096652906025:0.0|0.0%:6|1,0.1%:232.06637584334302:0.0|0.0%:0|0,0.1%:232.06637584334302:0.0|0.0%:0|0,0.1%:232.06637584334302:92.0|4.9%:1|1,0.1%:232.06637584334302:0.0|0.0%:1|1
