workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-apr-1,5776.71860531881,24817.0,0.3%:5760.417826451154:0.0|0.0%:6|1,3.2%:5594.5714388923525:0.0|0.0%:0|0,6.6%:5397.786891143389:0.0|0.0%:0|0,49.0%:2944.5083059697845:0.0|0.0%:0|0,50.3%:2873.225078988877:272.814|1.1%:19|1
rangeland-apr-2,5768.7896372753685,24742.0,0.3%:5752.587450512089:0.05|0.0%:6|1,3.1%:5587.390780277432:0.0|0.0%:12|1,6.6%:5390.404135118955:0.0|0.0%:16|1,48.7%:2958.430049778104:0.0|0.0%:0|0,50.1%:2880.534360021355:268.05|1.1%:19|1
rangeland-apr-3,5777.230821934327,24839.0,0.3%:5760.988502207607:0.333|0.0%:6|1,3.1%:5595.508958380284:0.0|0.0%:12|1,6.6%:5398.472667739899:0.0|0.0%:16|1,48.7%:2964.1116490162767:0.0|0.0%:0|0,50.1%:2885.3310090946034:155.333|0.6%:19|1
