workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-feb-1,236.81237631829566,2003.0,0.3%:236.12268724750908:0.0|0.0%:6|1,0.4%:235.77001861800585:0.0|0.0%:0|0,45.2%:129.81887420792498:0.0|0.0%:0|0,47.8%:123.58749736138378:0.0|0.0%:23|1,47.6%:124.14541966151924:0.0|0.0%:47|1
montage-feb-2,222.84381416839787,1814.0,0.3%:222.16728081483663:0.0|0.0%:0|0,0.5%:221.82229360805377:0.0|0.0%:0|0,45.3%:121.9104142410653:0.0|0.0%:0|0,47.9%:116.03667101908673:0.0|0.0%:0|0,47.9%:116.03667101908673:0.0|0.0%:0|0
montage-feb-3,215.46922721571246,1884.0,0.3%:214.8150824308483:0.0|0.0%:0|0,0.5%:214.4815119114143:0.0|0.0%:0|0,45.3%:117.87602381558438:0.0|0.0%:0|0,47.9%:112.19666081586988:0.0|0.0%:0|0,47.9%:112.19666081586988:0.0|0.0%:0|0
