workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-sep-1,6150.125125394847,24817.0,0.0%:6149.370071751331:800.442|3.2%:6|3,0.0%:6148.692903691145:547.628|2.2%:12|2,0.0%:6147.917614084754:1212.07|4.9%:24|5,0.1%:6146.364009907591:1421.884|5.7%:48|7,0.1%:6144.259093396629:468.628|1.9%:5|2
rangeland-sep-2,6141.7615047907375,24742.0,0.0%:6141.015401078032:602.15|2.4%:6|3,0.0%:6140.324104041085:434.1|1.8%:12|2,0.0%:6139.548737937927:1000.25|4.0%:24|5,0.1%:6137.995034358391:1232.35|5.0%:48|8,0.1%:6135.884593613209:267.05|1.1%:4|1
rangeland-sep-3,6150.814566593184,24839.0,0.0%:6150.061136825502:677.999|2.7%:6|3,0.0%:6149.373429534634:477.666|1.9%:12|2,0.0%:6148.597852714248:1215.665|4.9%:24|5,0.1%:6147.044012459577:1225.331|4.9%:48|8,0.1%:6144.931489507811:147.333|0.6%:4|1
