workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
mag-oct-1,10507.110447692789,45898.0,15.1%:8925.758614825674:0.0|0.0%:0|0,21.7%:8225.300551883953:1481.762|3.2%:2|1,21.9%:8203.919428045236:368.762|0.8%:8|1,27.7%:7591.610622393609:0.0|0.0%:17|1,33.1%:7024.300240005194:3586.762|7.8%:41|1
mag-oct-2,10385.5403118291,44188.0,13.6%:8974.59675610287:0.0|0.0%:6|1,23.4%:7959.690819918249:1461.497|3.3%:11|2,23.2%:7973.820043350721:304.497|0.7%:21|2,27.7%:7505.06344870358:2628.497|5.9%:17|1,31.9%:7068.980531843629:3457.497|7.8%:41|1
mag-oct-3,10590.67965664019,46342.0,15.3%:8974.609883521138:0.0|0.0%:6|1,21.3%:8338.5627566996:1842.877|4.0%:11|2,21.5%:8311.017807196698:329.877|0.7%:21|2,27.4%:7690.839830082997:2158.877|4.7%:17|1,31.6%:7247.581052746751:2233.877|4.8%:41|1
