workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
rangeland-jan-1,5713.859884461872,24817.0,0.2%:5704.071045261895:0.0|0.0%:1|1,17.1%:4738.682627471222:0.0|0.0%:6|1,25.1%:4282.323899811052:0.0|0.0%:0|0,29.6%:4020.532764788486:249.814|1.0%:20|1,31.5%:3914.3689075434872:462.628|1.9%:68|2
rangeland-jan-2,5706.128242149978,24742.0,0.2%:5696.294541907576:0.05|0.0%:5|2,17.0%:4736.59822355451:0.05|0.0%:5|2,25.1%:4274.849072848905:0.0|0.0%:0|0,28.9%:4054.697636062514:143.05|0.6%:20|1,31.5%:3908.7968294005377:466.1|1.9%:68|2
rangeland-jan-3,5714.51820998382,24839.0,0.2%:5704.702555518896:0.333|0.0%:5|2,17.0%:4742.941440424741:0.333|0.0%:5|2,25.1%:4282.400821424867:0.0|0.0%:0|0,28.9%:4061.0835356313264:221.333|0.9%:20|1,31.5%:3914.676564206472:492.666|2.0%:68|2
