workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
montage-apr-1,255.31544084275953,2003.0,0.0%:255.31544084275953:0.0|0.0%:5|1,0.0%:255.31544084275953:47.0|2.3%:2|2,0.0%:255.31544084275953:0.0|0.0%:1|1,0.1%:255.09943793172505:314.0|15.7%:6|2,0.1%:255.09943793172505:111.0|5.5%:3|2
montage-apr-2,240.21223720920304,1814.0,0.0%:240.21223720920304:0.0|0.0%:5|1,0.0%:240.21223720920304:99.0|5.5%:1|1,0.0%:240.21223720920304:0.0|0.0%:0|0,0.1%:240.00901196621726:282.0|15.5%:6|2,0.1%:240.00901196621726:0.0|0.0%:1|1
montage-apr-3,232.26287573821463,1884.0,0.0%:232.26287573821463:0.0|0.0%:5|1,0.0%:232.26287573821463:96.0|5.1%:1|1,0.0%:232.26287573821463:0.0|0.0%:0|0,0.1%:232.06637584334302:147.0|7.8%:6|2,0.1%:232.06637584334302:0.0|0.0%:1|1
