workflow,footprint,makespan,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
chipseq-nov-1,13142.944053386173,13607.0,0.0%:13141.311346564129:548.942|4.0%,0.0%:13140.63461223749:616.413|4.5%,0.0%:13138.56388153858:297.471|2.2%,0.1%:13134.703305070447:505.942|3.7%,0.1%:13131.125128808766:1059.884|7.8%
chipseq-nov-2,12888.216922856545,13099.0,0.0%:12886.85816839957:586.28|4.5%,0.0%:12886.133318498738:270.28|2.1%,0.0%:12884.311978137974:455.28|3.5%,0.1%:12880.418357029366:426.28|3.3%,0.1%:12876.732844500511:1031.56|7.9%
chipseq-nov-3,13069.864429498646,13266.0,0.0%:13068.462153636423:558.744|4.2%,0.0%:13067.746428905039:303.744|2.3%,0.0%:13065.894878176723:408.744|3.1%,0.1%:13061.950051492313:535.744|4.0%,0.1%:13058.224837278349:821.116|6.2%
