task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
80	f0/7bd533	nf-f07bd533401f85c1751ab873cb4db6a8-ce764	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R3)	COMPLETED	0	2026-01-07 14:08:44.280	1m 4s	46s	81.4%	23.1 MB	220.9 MB	2.6 GB	2.6 MB
82	fa/0e1f82	nf-fa0e1f82835095123adc253b3df6fcb9-0ecfa	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R3)	COMPLETED	0	2026-01-07 14:09:53.825	11.2s	0ms	58.2%	3.1 MB	5.4 MB	2.8 MB	5.4 KB
83	0b/93947e	nf-0b93947e3d35a281c1cd1756a805823a-38024	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R3)	COMPLETED	0	2026-01-07 14:09:53.945	46.1s	34s	100.6%	6.8 MB	220.9 MB	2.6 GB	5.3 KB
81	a5/64966d	nf-a564966d5df5b3bac7840f87c5e61ae4-36512	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R3)	COMPLETED	0	2026-01-07 14:10:08.848	1m 12s	1m 11s	147.2%	177.4 MB	328 MB	2.6 GB	6.2 MB
85	92/234202	nf-92234202a2f5584329f6759fc15d7b1b-4f8ca	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (6)	COMPLETED	0	2026-01-07 14:09:53.881	1m 51s	1m 45s	123.3%	2.2 GB	2.6 GB	2.9 GB	669.4 MB
87	2e/847e48	nf-2e847e48b88f80320a755fe91ad66826-98e59	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (K562_R3)	COMPLETED	0	2026-01-07 14:11:48.766	43.2s	23s	100.0%	12.6 MB	39.2 MB	1004.2 MB	110.7 MB
84	97/b7478e	nf-97b7478e06f2fbff6a267136ef34b716-bbdca	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R3)	COMPLETED	0	2026-01-07 14:09:53.981	4m 39s	4m 33s	124.1%	9.2 GB	11.9 GB	3.1 GB	998.8 MB
88	0f/f2fd97	nf-0ff2fd975b94948cadf1222ee7c8d6d4-e8a54	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (K562_R3)	COMPLETED	0	2026-01-07 14:14:39.791	58.2s	55s	84.4%	53.7 MB	80 MB	1.5 GB	95 MB
86	35/b18139	nf-35b18139a4ccd2829e7949aaab5aca27-21db1	NFCORE_NANOSEQ:NANOSEQ:BAMBU (1)	COMPLETED	0	2026-01-07 14:10:43.774	1h 14m 40s	1h 13m 25s	105.6%	18.8 GB	25.5 GB	49.1 GB	393.2 MB
90	20/4f11db	nf-204f11db5e68c190c66688055a812456-d0015	NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DESEQ2 (1)	COMPLETED	0	2026-01-07 15:25:29.462	1m 34s	1m 24s	183.2%	1018.1 MB	5.4 GB	91.5 MB	27.3 MB
89	0a/26f151	nf-0a26f15113827562239c78dc252953e9-2da88	NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1)	COMPLETED	0	2026-01-07 15:25:29.532	2m 24s	1m 21s	182.0%	1 GB	5.5 GB	156.8 MB	250.2 KB
91	a5/10022f	nf-a510022fb3c3a1b50113eaeeb7356880-f7230	NFCORE_NANOSEQ:NANOSEQ:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2026-01-07 15:27:59.410	27.6s	162ms	64.0%	5.6 MB	13.2 MB	842.4 KB	4.1 KB
92	50/b57d0a	nf-50b57d0a8e40b3f28548a387cdd29386-4311f	NFCORE_NANOSEQ:NANOSEQ:MULTIQC (1)	COMPLETED	0	2026-01-07 15:28:34.173	1m 8s	37.8s	88.3%	134.1 MB	4.5 GB	1.2 GB	3.7 MB
